"filename", "language", "Lua", "JSON", "JSON with Comments", "HTML", "PowerShell", "C++", "TypeScript", "JavaScript", "CSS", "Makefile", "Markdown", "LaTeX", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Silver\develop\CSOL-Utilities\.clang-format", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 1, 51
"c:\Users\Silver\develop\CSOL-Utilities\CSOL-Utilities.vcxproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 367, 0, 0, 0, 367
"c:\Users\Silver\develop\CSOL-Utilities\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 3, 6, 62
"c:\Users\Silver\develop\CSOL-Utilities\docs\chapter_00.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 76, 321
"c:\Users\Silver\develop\CSOL-Utilities\docs\chapter_01.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\Silver\develop\CSOL-Utilities\docs\chapter_02.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 345, 0, 0, 0, 90, 435
"c:\Users\Silver\develop\CSOL-Utilities\docs\chapter_03.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 8, 40
"c:\Users\Silver\develop\CSOL-Utilities\docs\chapter_04.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 9, 42
"c:\Users\Silver\develop\CSOL-Utilities\docs\chapter_05.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 127, 56, 216
"c:\Users\Silver\develop\CSOL-Utilities\docs\chapter_06.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 48, 247
"c:\Users\Silver\develop\CSOL-Utilities\docs\chapter_07.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 18, 145
"c:\Users\Silver\develop\CSOL-Utilities\docs\main.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 41
"c:\Users\Silver\develop\CSOL-Utilities\manual\ingame_24h.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\Silver\develop\CSOL-Utilities\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 35, 82
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\GeneralSettings.html", "HTML", 0, 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 264
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\Setting.html", "HTML", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 68
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\Setting.json", "JSON", 0, 553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 553
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\WeaponList.html", "HTML", 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 328
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\WeaponLists.html", "HTML", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 131
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\WeaponTemplateList.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\index.html", "HTML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\scripts\CopyToClipboard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\scripts\DisplayTab.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\scripts\LuaASTUtil.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 386, 0, 0, 0, 0, 0, 0, 1, 1, 388
